beta,gamma
0.153472,0.038041
0.303726,0.021899
0.223139,0.013097
0.238441,0.012314
0.271316,0.025971
0.277947,0.038259
0.403037,0.030771
0.323236,0.032167
0.202415,0.039167
0.153465,0.036824
0.142513,0.028285
0.314073,0.091105
0.222133,0.045607
0.304736,0.051438
0.124719,0.029211
0.218158,0.012646
0.219476,0.022984
0.125870,0.032064
0.401798,0.033210
0.217116,0.042464
0.283235,0.038970
0.454841,0.019413
0.186829,0.015117
0.266951,0.087451
0.346645,0.030840
0.165102,0.020885
0.171303,0.017155
0.224343,0.057214
0.280800,0.038227
0.156228,0.036717
0.265457,0.032660
0.475453,0.036643
0.161321,0.026736
0.391422,0.028825
0.151681,0.019328
0.159876,0.044876
0.139447,0.017755
0.306290,0.020022
0.289815,0.060604
0.224255,0.075500
0.336929,0.016953
0.405765,0.022549
0.301155,0.086292
0.172967,0.015055
0.252613,0.096100
0.320194,0.131786
0.162145,0.013156
0.261909,0.053000
0.179814,0.025882
0.313861,0.019621
0.141153,0.036374
0.406223,0.022059
0.141700,0.020926
0.510558,0.039947
0.143873,0.032479
0.226510,0.022803
0.276851,0.052114
0.242931,0.028195
0.161803,0.020015
0.495354,0.022211
0.352020,0.032082
0.129440,0.018754
0.189331,0.045765
0.479484,0.016815
0.365060,0.049823
0.331651,0.092549
0.498515,0.026714
0.213662,0.055908
0.315798,0.050389
0.351962,0.069837
0.142353,0.033505
0.216847,0.050849
0.328808,0.020511
0.393347,0.023350
0.137051,0.019657
0.304367,0.067492
0.418182,0.045521
0.132756,0.037313
0.303148,0.041569
0.202126,0.028911
0.279026,0.012353
0.199992,0.016173
0.146193,0.044915
0.457197,0.027661
0.141088,0.027689
0.166240,0.033580
0.156403,0.020663
0.234638,0.051399
0.152574,0.032506
0.266758,0.072703
0.187803,0.024735
0.350312,0.027564
0.162931,0.023493
0.424161,0.015798
0.182138,0.050662
0.162517,0.011987
0.230089,0.057807
0.385832,0.014152
0.343398,0.081365
0.201380,0.012880
0.369605,0.017431
0.155881,0.013467
0.301188,0.030894
0.277131,0.067603
0.340554,0.034736
0.307089,0.062200
0.310395,0.047884
0.194151,0.013208
0.179306,0.045504
0.158772,0.022552
