beta,gamma
0.296406,0.020449
0.172213,0.027454
0.294939,0.013224
0.398784,0.021383
0.161554,0.033543
0.107334,0.017205
0.225365,0.062771
0.273828,0.068713
0.170406,0.012289
0.250159,0.015027
0.304506,0.016603
0.213625,0.056999
0.189058,0.020422
0.182656,0.052306
0.160708,0.014581
0.299035,0.111469
0.221965,0.070516
0.262102,0.051263
0.310590,0.025073
0.141005,0.035019
0.160369,0.050506
0.442189,0.019597
0.218106,0.037115
0.298615,0.072333
0.253956,0.085342
0.183731,0.013607
0.348643,0.020712
0.243244,0.041003
0.219618,0.016719
0.182151,0.055473
0.164607,0.036658
0.168536,0.051900
0.521451,0.016723
0.181058,0.056926
0.316280,0.060513
0.155119,0.027664
0.458321,0.024474
0.146644,0.018054
0.135688,0.028367
0.126094,0.020259
0.231256,0.048086
0.157005,0.042015
0.286721,0.075462
0.265048,0.041040
0.141455,0.017643
0.205920,0.021594
0.352385,0.043493
0.160398,0.049861
0.176067,0.042235
0.233059,0.060978
0.274980,0.055359
0.329813,0.068385
0.208057,0.031133
0.218569,0.019458
0.182873,0.014835
0.138851,0.044733
0.167487,0.053532
0.230574,0.067352
0.278999,0.036059
0.248061,0.087995
0.423700,0.036281
0.274420,0.029170
0.175895,0.057930
0.160226,0.043813
0.120991,0.019212
0.238431,0.026628
0.346781,0.067018
0.182060,0.014648
0.298218,0.061001
0.133737,0.036033
0.155342,0.023735
0.378172,0.019715
0.200148,0.033088
0.391899,0.019603
0.148365,0.025503
0.324838,0.016848
0.155457,0.054233
0.456130,0.015549
0.308770,0.035253
0.199120,0.018460
0.337139,0.041196
0.472545,0.019067
0.224267,0.031272
0.223705,0.049192
0.140920,0.035544
0.310032,0.063523
0.420157,0.023547
0.395957,0.032928
0.125237,0.023361
0.215844,0.066576
0.305801,0.113025
0.348556,0.016089
0.340292,0.047085
0.278803,0.109816
0.250889,0.037992
0.178204,0.024040
0.443590,0.020796
0.370850,0.033122
0.277492,0.016472
0.262318,0.066911
0.276650,0.021505
0.315664,0.015963
0.300584,0.031074
0.140109,0.018018
0.385768,0.040106
0.424794,0.022953
0.372367,0.019606
0.175567,0.030819
0.271147,0.015449
0.253890,0.027548
0.127137,0.024318
0.119444,0.024416
0.226031,0.051881
0.180456,0.015317
0.340692,0.028624
0.234074,0.015292
0.162517,0.031354
0.436380,0.031283
0.243028,0.025504
0.402618,0.026575
0.401483,0.013720
0.157259,0.015210
0.121796,0.014868
0.157248,0.016631
0.385908,0.014130
0.205015,0.029904
0.250575,0.023286
0.192955,0.065527
0.296731,0.033521
0.323284,0.033631
0.195256,0.021758
0.373567,0.038162
0.227332,0.041636
0.277041,0.014930
0.122385,0.015801
0.159775,0.050258
0.158289,0.016520
0.253637,0.022958
0.236375,0.024595
0.376363,0.040758
0.266158,0.018947
0.138572,0.031454
0.143216,0.037220
0.186825,0.012539
0.246207,0.017404
0.202068,0.013798
0.269185,0.097295
0.170793,0.036580
0.218204,0.079663
0.180176,0.051374
0.181755,0.015775
0.299696,0.047636
0.327264,0.013005
0.408135,0.046112
0.151327,0.058913
0.278897,0.109858
0.302670,0.068995
0.374494,0.017116
0.267896,0.014209
0.178793,0.016738
0.177447,0.032150
0.274620,0.109893
0.214727,0.047291
0.135452,0.018935
0.183776,0.051405
0.180473,0.048212
0.265961,0.052736
0.131638,0.031862
0.118564,0.021128
0.279921,0.050631
0.227044,0.083423
0.472033,0.019881
0.139772,0.030905
0.458841,0.030230
0.219640,0.041997
0.201689,0.081715
0.445832,0.026429
0.213106,0.026157
0.248824,0.027517
0.251722,0.032232
0.156267,0.033313
0.300699,0.018440
0.357985,0.037666
0.140369,0.033660
0.228417,0.021397
0.213218,0.036416
0.399707,0.036378
0.248400,0.041256
0.155280,0.055684
0.457940,0.042008
0.261928,0.016312
0.178704,0.018411
0.126815,0.018885
0.307376,0.037051
0.205136,0.041830
0.343631,0.015329
0.312944,0.027939
0.302258,0.014117
0.225021,0.022850
0.316698,0.075108
0.439672,0.022513
0.445061,0.031834
0.278624,0.059060
0.181838,0.053875
0.235690,0.032249
0.212811,0.013787
0.202593,0.062930
0.150884,0.045642
0.172371,0.031136
0.267840,0.106644
0.200923,0.046419
0.164288,0.021322
0.145901,0.047499
0.272546,0.029850
0.328829,0.014749
0.333177,0.012151
0.360749,0.078310
0.266669,0.017300
0.306405,0.018472
0.145063,0.043080
0.451481,0.048015
0.263613,0.039930
0.237114,0.050631
0.306248,0.023497
0.148345,0.021959
0.312743,0.018949
0.338582,0.024946
0.177026,0.054977
0.136969,0.013901
0.383746,0.012885
0.213804,0.083457
0.215365,0.013314
0.225697,0.031775
0.351445,0.054453
0.120007,0.023862
0.191203,0.038418
0.148094,0.031323
0.408188,0.015789
0.145693,0.051428
0.157414,0.060907
0.411316,0.032718
0.162532,0.028343
0.219568,0.041332
0.134061,0.035500
0.476269,0.014020
0.291644,0.046084
0.199824,0.014846
0.189026,0.043955
0.262519,0.019680
0.262112,0.055800
0.314488,0.095745
0.268854,0.045810
0.198320,0.043129
0.388912,0.051038
0.165362,0.016222
0.189999,0.068324
0.460146,0.014901
0.216900,0.037613
0.291856,0.014137
0.364235,0.038071
0.379213,0.024451
0.159924,0.020248
0.451847,0.045316
0.424808,0.039167
0.212626,0.046848
0.307052,0.012461
0.176943,0.044550
0.168181,0.054992
0.179873,0.022231
0.245461,0.076602
0.328322,0.045732
0.208530,0.027777
0.225782,0.016443
0.197454,0.069455
0.362106,0.028008
0.268390,0.014278
0.181246,0.013624
0.373759,0.020370
0.435650,0.028722
0.165273,0.013853
0.286881,0.051041
0.245959,0.029698
0.309879,0.024242
0.224805,0.038730
0.149009,0.023398
0.225025,0.055313
0.123208,0.019024
0.361939,0.024615
0.161850,0.053085
0.240121,0.075342
0.231126,0.021784
0.169585,0.032412
0.282626,0.042665
0.367830,0.055515
0.147473,0.015374
0.293074,0.018178
0.196821,0.062339
0.309665,0.039208
0.168744,0.012229
0.443227,0.017720
0.287687,0.027043
0.261791,0.016595
0.211603,0.071849
0.345998,0.046749
0.357924,0.059240
0.385890,0.038438
0.198069,0.054940
0.144050,0.017686
0.264086,0.029665
0.160685,0.041141
0.135740,0.039224
0.258342,0.016309
0.289513,0.013486
0.425473,0.022094
0.338440,0.033758
0.164838,0.013940
0.328211,0.037131
0.295454,0.067212
0.162479,0.028617
0.403776,0.048596
0.354672,0.028028
0.239981,0.024204
0.182040,0.056065
0.348661,0.031794
0.182490,0.061797
0.243695,0.016036
0.328086,0.034745
0.274093,0.090069
0.392046,0.033920
0.356889,0.016132
0.201480,0.028556
0.213113,0.011791
0.512118,0.018366
0.245675,0.046846
0.227783,0.018580
0.322386,0.018829
0.184288,0.033742
0.255907,0.028759
0.149383,0.015636
0.304947,0.092564
0.292410,0.099495
0.326364,0.045060
0.338548,0.044790
0.174279,0.014582
0.253467,0.063455
0.109179,0.020999
0.232060,0.013794
0.240686,0.034196
0.207774,0.026202
0.289437,0.066779
0.461469,0.021935
0.284636,0.102690
0.273306,0.113484
0.373208,0.013656
0.306497,0.070078
0.240765,0.020865
0.364822,0.032741
0.351107,0.039227
0.334030,0.025154
0.281883,0.012774
0.402468,0.015905
0.189738,0.053498
0.196160,0.021372
0.188003,0.028633
0.329123,0.015801
0.236395,0.020064
0.259716,0.024037
0.156547,0.024301
0.173830,0.029418
0.324260,0.023956
0.154674,0.042205
0.222685,0.044543
0.159336,0.044911
0.182229,0.018004
0.457817,0.017613
0.237028,0.020251
0.411473,0.016095
0.416060,0.020974
0.503651,0.020370
0.117437,0.022521
0.288851,0.017249
0.206045,0.078770
0.433046,0.018943
0.258191,0.022813
0.214103,0.084477
0.318268,0.072915
0.323890,0.086992
0.322388,0.039152
0.177331,0.046646
0.401555,0.046349
0.473947,0.042500
0.190136,0.054946
0.197069,0.045209
0.168613,0.020255
0.405887,0.051127
0.230363,0.035525
0.237502,0.044228
0.261266,0.014761
0.178531,0.034225
0.292237,0.018824
0.229773,0.036238
0.270941,0.018282
0.231379,0.013494
0.192276,0.027171
0.209018,0.028669
0.211417,0.034962
0.161451,0.033518
0.176184,0.021172
0.473725,0.023471
0.172097,0.029588
0.339393,0.087027
0.204232,0.046972
0.261243,0.081298
0.456130,0.046548
0.144826,0.019031
0.327076,0.013310
0.176759,0.018060
0.294179,0.072595
0.193562,0.019239
0.442098,0.027719
0.277737,0.089336
0.375376,0.017939
0.179351,0.040401
0.224875,0.016876
0.435746,0.036601
0.211385,0.015985
0.258863,0.091939
0.217541,0.066987
0.204538,0.027471
0.360169,0.028471
0.181569,0.017223
0.165972,0.048910
0.122784,0.021924
0.270398,0.046221
0.228651,0.018229
0.217737,0.026884
0.129483,0.029865
0.231369,0.054323
0.390047,0.029256
0.341886,0.013726
0.436742,0.037709
0.400475,0.014846
0.362335,0.028266
0.157773,0.023871
0.147331,0.039846
0.204388,0.052329
0.300690,0.041751
0.460718,0.016022
0.430723,0.035573
0.430720,0.031813
0.271678,0.013095
0.235283,0.072694
0.345328,0.063513
0.143645,0.038685
0.456995,0.021839
0.162234,0.057561
0.451782,0.022432
0.192974,0.014153
0.213229,0.052599
0.464524,0.018868
0.357697,0.014104
0.164708,0.040617
0.187632,0.015778
0.314865,0.050177
0.423541,0.019275
0.119087,0.018851
0.436549,0.041413
0.228444,0.092838
0.386613,0.041947
0.308048,0.044270
0.208520,0.023591
0.224947,0.039684
0.191218,0.028975
0.180221,0.061198
0.364387,0.065953
0.465400,0.033279
0.220397,0.018011
0.189909,0.024062
0.195537,0.026028
0.492188,0.025771
0.246735,0.031473
0.168679,0.060787
0.450549,0.019680
0.334062,0.032856
0.154655,0.026051
0.447802,0.013978
0.140137,0.020011
0.268014,0.017989
0.251383,0.017667
0.330897,0.019121
0.365691,0.036515
0.165702,0.042640
0.211055,0.024975
0.171128,0.042807
0.174676,0.032387
0.213489,0.013242
0.137985,0.016354
0.176446,0.013966
0.365108,0.060255
0.303183,0.043721
0.350852,0.038660
0.251063,0.014456
0.189837,0.016048
0.355391,0.111892
0.225837,0.083051
0.137865,0.029251
0.129795,0.015663
0.410964,0.013704
0.136669,0.026168
0.212153,0.015543
0.409287,0.033889
0.139543,0.018325
0.171145,0.023821
0.462543,0.046117
0.425827,0.049359
0.240610,0.088912
0.120695,0.017059
0.255455,0.019885
0.498155,0.044998
0.269897,0.101124
0.456408,0.029107
0.127695,0.026142
0.449846,0.029232
0.158443,0.016523
0.348573,0.021567
0.278550,0.067530
0.137205,0.016464
0.381270,0.060065
0.205222,0.032874
0.231902,0.014579
0.451648,0.039298
0.334076,0.015857
0.362068,0.030070
0.184733,0.016050
0.249410,0.065145
0.216651,0.040509
0.234686,0.078411
0.336460,0.018258
0.251417,0.095805
0.246593,0.043575
0.313067,0.031156
0.220107,0.033533
0.214959,0.014847
0.380332,0.019797
0.166949,0.013854
0.347200,0.026115
0.138215,0.028654
0.160256,0.031679
0.391058,0.048764
0.384415,0.021654
0.252806,0.030132
0.293980,0.021046
0.388765,0.047983
0.231704,0.023944
0.162593,0.017311
0.224987,0.023767
0.149956,0.031486
0.299690,0.018925
0.259365,0.053715
0.298741,0.039734
0.289981,0.064253
0.230748,0.025096
0.256727,0.032052
0.275424,0.074793
0.153191,0.023547
0.147414,0.036083
0.513482,0.019806
0.381642,0.050279
0.165700,0.023601
0.125429,0.024414
0.229351,0.014292
0.269487,0.018840
0.282642,0.052057
0.162736,0.032579
0.254119,0.047459
0.537046,0.032178
0.285668,0.034506
0.210415,0.013115
0.184756,0.059783
0.297449,0.062639
0.154504,0.030844
0.330517,0.039717
0.268925,0.053207
0.255630,0.040805
0.307736,0.051561
0.180342,0.013309
0.188673,0.015683
0.233750,0.020389
0.213562,0.020505
0.226544,0.019277
0.257484,0.020983
0.131910,0.029742
0.549087,0.042707
0.200031,0.049933
0.159147,0.051207
0.175246,0.058152
0.155163,0.018867
0.192436,0.022035
0.248986,0.026857
0.272042,0.013312
0.321903,0.112942
0.284525,0.015654
0.301942,0.060783
0.153140,0.025187
0.190451,0.045425
0.365828,0.019927
0.119891,0.028747
0.351495,0.026282
0.360975,0.048886
0.175286,0.033436
0.211317,0.069126
0.229355,0.035703
0.316891,0.012875
0.187720,0.019816
0.200650,0.058082
0.150658,0.024243
0.227411,0.019317
0.197489,0.046529
0.402448,0.044439
0.225062,0.026550
0.143021,0.036549
0.328526,0.025284
0.252201,0.024918
0.151687,0.047821
0.154475,0.015274
0.188205,0.025008
0.301811,0.079486
0.258755,0.026115
0.158578,0.028736
0.202940,0.033530
0.346495,0.030088
0.367046,0.047292
0.177166,0.047298
0.231454,0.066860
0.431901,0.015580
0.361197,0.015596
0.317861,0.108628
0.129010,0.021381
0.188896,0.048929
0.230120,0.035034
0.335538,0.027133
0.352803,0.056949
0.285326,0.061616
0.377584,0.025438
0.272531,0.022778
0.345410,0.037777
0.265327,0.098437
0.163160,0.015734
0.371133,0.014049
0.274187,0.041453
0.144139,0.019339
0.232045,0.016606
0.232023,0.055362
0.198448,0.072793
0.316763,0.059808
0.374675,0.041723
0.266669,0.081882
0.149519,0.017842
0.213097,0.033249
0.328133,0.017149
0.289019,0.068510
0.336142,0.049084
0.304516,0.095755
0.161829,0.033317
0.263967,0.036393
0.283908,0.051677
0.296495,0.053252
0.429750,0.022085
0.158357,0.040627
0.193114,0.016422
0.295344,0.052377
0.235916,0.060159
0.264572,0.035086
0.208643,0.014975
0.178884,0.021956
0.386969,0.017713
0.249494,0.019924
0.132007,0.029640
0.170375,0.055377
0.155721,0.040472
0.422073,0.022271
0.335812,0.036207
0.179027,0.019459
0.223518,0.023934
0.192550,0.013221
0.133062,0.021477
0.178064,0.045100
0.352223,0.072402
0.274962,0.012911
0.273110,0.024695
0.287715,0.029152
0.273321,0.081884
0.255018,0.086575
0.290413,0.019489
0.286931,0.013219
0.445108,0.042372
0.287642,0.014938
0.219678,0.023527
0.269413,0.038278
0.456431,0.024247
0.235243,0.040097
0.269868,0.014556
0.168498,0.014379
0.230776,0.055191
0.234788,0.027083
0.343085,0.037477
0.333185,0.046003
0.259964,0.060496
0.168658,0.032451
0.232663,0.047846
0.298966,0.028311
0.300469,0.029132
0.158923,0.024091
0.197850,0.059138
0.138908,0.018464
0.403662,0.023997
0.360631,0.019515
0.348965,0.030913
0.132693,0.030618
0.146820,0.033368
0.299968,0.019961
0.148640,0.028743
0.212468,0.057824
0.242655,0.039995
0.389407,0.015879
0.149051,0.025708
0.226675,0.019283
0.180753,0.026567
0.197822,0.020417
0.288665,0.021834
0.097885,0.025944
0.197249,0.024232
0.174019,0.034871
0.425104,0.046223
0.363594,0.014602
0.226182,0.016388
0.411915,0.035087
0.339604,0.018603
0.189946,0.058473
0.146022,0.019406
0.213636,0.018701
0.134377,0.039408
0.315027,0.074540
0.298732,0.021444
0.274362,0.024131
0.335834,0.021125
0.336607,0.019508
0.210286,0.059849
0.192733,0.028066
0.169317,0.033209
0.177342,0.045481
0.139922,0.036506
0.291889,0.064688
0.330982,0.012827
0.190000,0.017236
0.326057,0.031741
0.237755,0.029546
0.223700,0.021916
0.512044,0.033056
0.256738,0.032933
0.303453,0.013304
0.136430,0.024794
0.179709,0.060383
0.332019,0.052629
0.244182,0.013842
0.334764,0.016252
0.287871,0.033368
0.247048,0.041964
0.163271,0.061358
0.269707,0.048944
0.170424,0.026635
0.252278,0.055754
0.510622,0.019576
0.264952,0.036086
0.181956,0.027536
0.396556,0.018038
0.285516,0.048621
0.294831,0.102451
0.122477,0.029233
0.176603,0.044535
0.152062,0.045017
0.482618,0.048095
0.243613,0.013045
0.385978,0.015444
0.330815,0.038732
0.315744,0.014483
0.287811,0.026078
0.200278,0.057304
0.207918,0.041530
0.408526,0.015032
0.223889,0.020355
0.302887,0.026766
0.176932,0.025850
0.177028,0.035350
0.402749,0.031352
0.334626,0.031060
0.271518,0.025031
0.158236,0.042755
0.206042,0.030239
0.120577,0.029612
0.475595,0.036165
0.165923,0.027475
0.393301,0.018673
0.252708,0.013506
0.309600,0.033662
0.244691,0.055169
0.265647,0.066902
0.226599,0.054888
0.259024,0.020529
0.183031,0.045704
0.252094,0.033362
0.332594,0.035921
0.271070,0.019076
0.321225,0.016978
0.323674,0.071074
0.173804,0.020668
0.353129,0.041832
0.416021,0.018410
0.151553,0.040989
0.246803,0.017421
0.196563,0.016403
0.224653,0.041079
0.111474,0.021002
0.264046,0.013769
0.223554,0.032936
0.315333,0.019338
0.172189,0.014665
0.238580,0.052478
0.270125,0.021070
0.215127,0.014001
0.255167,0.013071
0.176913,0.064908
0.183175,0.019962
0.212108,0.020507
0.196592,0.013405
0.317156,0.053614
0.332278,0.037880
0.346999,0.019688
0.342029,0.037386
0.318044,0.022064
0.186615,0.057567
0.468992,0.042613
0.363978,0.016574
0.156884,0.037169
0.172386,0.033171
0.516325,0.025425
0.245661,0.085684
0.293452,0.034855
0.259331,0.020094
0.152369,0.027617
0.231618,0.019663
0.450479,0.030806
0.259949,0.080632
0.293565,0.020270
0.378811,0.020970
0.152034,0.031745
0.147351,0.017088
0.204216,0.037470
0.290727,0.054659
0.214456,0.012898
0.314439,0.020593
0.224864,0.034750
0.125878,0.021257
0.373941,0.016001
0.130203,0.026711
0.123768,0.023710
0.221858,0.081467
0.335071,0.030532
0.166962,0.029732
0.498848,0.028226
0.257703,0.091761
0.231392,0.046549
0.221791,0.054999
0.482213,0.035196
0.143400,0.016091
0.279524,0.051300
0.124995,0.019484
0.568760,0.032253
0.196165,0.014629
0.270519,0.020931
0.316976,0.021161
0.256189,0.090960
0.155108,0.050367
0.141801,0.030664
0.188274,0.034852
0.290610,0.024522
0.315229,0.063846
0.184238,0.061496
0.119904,0.018132
0.423698,0.021373
0.306910,0.032383
0.345302,0.017240
0.258633,0.080996
0.138670,0.015833
0.158497,0.019867
0.210604,0.022927
0.447532,0.043251
0.134743,0.019351
0.144327,0.017462
0.365369,0.018279
0.221027,0.012876
0.133021,0.025889
0.423164,0.025752
0.158051,0.019320
0.247574,0.034046
0.316308,0.033839
0.146848,0.025034
0.225775,0.024875
0.184318,0.039351
0.372037,0.021724
0.250811,0.027705
0.257517,0.062577
0.239719,0.074840
0.312127,0.020909
0.168683,0.047911
0.230455,0.040012
0.265245,0.023067
0.375131,0.087175
0.325238,0.025543
0.210244,0.025608
0.254103,0.042582
0.309547,0.013258
0.172374,0.012547
0.184894,0.012151
0.279269,0.025002
0.163262,0.018309
0.242528,0.099763
0.185236,0.022024
0.436439,0.042448
0.306961,0.015374
0.265181,0.030235
0.127732,0.027759
0.235390,0.072709
0.356005,0.037570
0.415474,0.028703
0.283948,0.022345
0.219430,0.045331
0.233357,0.084627
0.393775,0.019427
0.278194,0.055672
0.170559,0.024077
0.336344,0.047868
0.254245,0.101304
0.365697,0.020833
0.313465,0.023627
0.404175,0.058704
0.308462,0.087188
0.174705,0.028544
0.179913,0.020352
0.181316,0.022727
0.125222,0.024575
0.215937,0.016580
0.315254,0.108291
0.142709,0.033922
0.147285,0.019208
0.405965,0.043252
0.185145,0.066785
0.243706,0.061276
0.157307,0.046951
0.143941,0.033176
0.170664,0.057750
0.146513,0.036990
0.179577,0.025812
0.129617,0.044908
0.400162,0.028548
0.200473,0.018212
0.298739,0.058496
0.252157,0.016219
0.303292,0.043514
0.169784,0.064297
0.363970,0.015570
0.279937,0.016249
0.256782,0.067043
0.163354,0.019379
0.216199,0.026930
0.378184,0.039589
0.504473,0.018915
0.213168,0.033216
0.235104,0.041199
0.329439,0.082119
0.223660,0.049161
0.326932,0.045507
0.326485,0.045687
0.142614,0.019523
0.294107,0.016767
0.167914,0.027488
0.353257,0.034200
0.436011,0.024184
0.270328,0.018349
0.182841,0.015121
0.171425,0.013760
0.266030,0.028725
0.212976,0.063891
0.294785,0.012745
0.229312,0.056065
0.188940,0.038864
0.395725,0.019862
0.423186,0.018250
0.134389,0.023566
0.221145,0.033153
0.199309,0.061235
0.166427,0.018825
0.141380,0.039876
0.378972,0.032946
0.280276,0.038611
0.429941,0.040277
0.230066,0.036434
0.359055,0.043279
0.246982,0.095025
0.252587,0.107542
0.154069,0.020894
0.293216,0.096706
0.275379,0.022889
0.176750,0.044716
0.156466,0.027764
0.361774,0.025747
0.372591,0.013338
0.231939,0.053726
0.202508,0.024123
0.158956,0.014087
0.152351,0.016329
0.191042,0.048945
0.124934,0.018722
0.147389,0.017430
0.274797,0.014379
0.273599,0.068355
0.195123,0.050460
0.334641,0.042420
0.267137,0.018698
0.260598,0.040945
0.224490,0.042654
0.396757,0.026895
0.391317,0.029333
0.163124,0.023309
0.305975,0.032979
0.199451,0.017958
0.211813,0.019190
0.196697,0.046303
0.191436,0.015144
0.381941,0.018881
0.213611,0.014564
0.306593,0.103868
0.221159,0.025059
0.324438,0.067528
0.346594,0.017161
0.138153,0.021339
0.289545,0.025142
0.290480,0.104245
0.206757,0.022574
0.315782,0.094115
0.137973,0.038197
0.255461,0.012865
0.150540,0.031751
0.224960,0.084955
0.256249,0.030619
0.316524,0.071706
0.374114,0.044710
0.116209,0.019503
0.238134,0.091303
0.252886,0.030023
0.203729,0.052770
0.512214,0.050005
0.298193,0.108140
0.238826,0.075131
0.261137,0.017998
0.368738,0.019869
0.304381,0.019994
0.263829,0.018478
0.267501,0.027014
0.193475,0.041344
0.161015,0.014114
0.189178,0.038192
0.309305,0.021952
0.173080,0.013811
0.153868,0.025441
0.153982,0.038142
0.179555,0.012565
0.243584,0.047414
0.471957,0.022377
0.224584,0.085566
0.288723,0.034805
0.428712,0.034180
0.184485,0.050991
0.127613,0.034035
0.180493,0.013598
0.200611,0.022996
0.173961,0.026067
0.440451,0.045811
0.192298,0.059824
0.135373,0.025650
0.252739,0.078374
0.351765,0.014510
0.174520,0.025742
0.444323,0.020315
0.223453,0.045549
0.355947,0.015276
0.284842,0.075573
0.353291,0.027297
0.250634,0.029999
0.134383,0.017132
0.404305,0.017319
0.146553,0.037424
0.255618,0.100161
0.336398,0.032707
0.179582,0.023938
0.144203,0.022732
0.149177,0.018306
0.429813,0.025646
0.247610,0.015841
0.133036,0.025081
0.207878,0.021715
0.138613,0.017616
0.255245,0.056423
0.189612,0.035064
0.272616,0.018723
0.412460,0.031169
0.122694,0.029185
0.424608,0.028412
0.212813,0.013449
0.140897,0.014890
0.309840,0.077833
0.407369,0.027512
0.124854,0.024048
0.303017,0.106910
0.193077,0.057281
0.131641,0.034922
0.253278,0.029270
0.318912,0.013826
0.258061,0.014417
0.265527,0.083740
0.226709,0.024926
0.225573,0.070722
0.282568,0.052861
0.174032,0.057970
0.184511,0.045943
0.122644,0.028336
0.240554,0.091114
0.292058,0.012909
0.235979,0.019755
0.129044,0.021025
0.198895,0.040664
0.316607,0.034213
0.418575,0.014329
0.238129,0.017479
0.203451,0.017164
0.165848,0.047569
0.140074,0.023042
0.162892,0.022480
0.358087,0.028560
0.148083,0.040072
0.292196,0.035738
0.306371,0.020603
0.424909,0.026546
0.274082,0.078070
0.261644,0.019210
0.205203,0.058805
0.191702,0.073004
0.267579,0.063116
0.465179,0.019156
0.147634,0.017853
0.451750,0.044681
0.368317,0.014353
0.135800,0.039093
0.331592,0.062924
0.259132,0.034694
0.217689,0.067211
0.133696,0.030982
0.160552,0.044175
0.255570,0.073120
0.147668,0.042707
0.309435,0.033164
0.129502,0.021247
0.355563,0.052215
0.215506,0.062936
0.250686,0.013799
0.228795,0.024892
0.311659,0.022673
0.292178,0.038378
0.431153,0.020851
0.378555,0.020928
0.282450,0.072853
0.147138,0.016990
0.300043,0.021876
0.259921,0.062494
0.403507,0.029206
0.259251,0.042012
0.158471,0.026706
0.288746,0.019138
0.157546,0.012238
0.142905,0.029544
0.261488,0.016485
0.111107,0.026716
0.301492,0.106573
0.196261,0.063249
0.129884,0.034411
0.161961,0.027299
0.227699,0.041368
0.151069,0.036806
0.293615,0.059631
0.393422,0.034373
0.251862,0.038324
0.269019,0.055928
0.375335,0.042257
0.182342,0.060425
0.378281,0.015108
0.124675,0.024570
0.278688,0.019906
0.473479,0.015719
0.261877,0.066137
0.163643,0.030434
0.149437,0.017514
0.296538,0.051012
0.436462,0.034527
0.147083,0.051877
0.170382,0.020487
0.283307,0.095616
0.193262,0.023897
0.148633,0.040261
0.131429,0.023951
0.154630,0.043072
0.402989,0.025746
0.119936,0.016075
0.353273,0.066157
0.339711,0.029677
0.312419,0.018647
0.433979,0.023722
0.313584,0.095669
0.254731,0.061270
0.134417,0.019996
0.343530,0.024633
0.223450,0.040337
0.357363,0.020863
0.247557,0.015194
0.338763,0.047759
0.311942,0.021909
0.459180,0.030660
0.179916,0.030002
0.226679,0.020103
0.139819,0.016426
0.318130,0.013364
0.238816,0.012786
0.441616,0.021425
0.172208,0.031170
0.165051,0.039830
0.236148,0.076348
0.331173,0.029297
0.271565,0.033143
0.115055,0.025364
0.187076,0.028537
0.258439,0.015443
0.272313,0.022724
0.274081,0.043119
0.508119,0.042028
0.243292,0.064617
0.249464,0.041966
0.232129,0.047537
0.253197,0.045657
0.230660,0.014686
0.270899,0.014897
0.279694,0.019548
0.268886,0.030499
0.442904,0.033713
0.168476,0.041159
0.176226,0.027408
0.171365,0.048563
0.472214,0.015837
0.200401,0.026408
0.254716,0.037615
0.379499,0.024262
0.419761,0.032136
0.251888,0.024688
0.206809,0.036129
0.371032,0.031903
0.253239,0.025979
0.320686,0.018683
0.464506,0.020101
0.210144,0.017613
0.242932,0.049778
0.191918,0.036765
0.185345,0.020381
0.348187,0.068931
0.160394,0.017834
0.323379,0.020333
0.271963,0.110951
0.189859,0.019250
0.162465,0.036280
0.156072,0.014628
0.186479,0.060885
0.234029,0.056484
0.280665,0.028851
0.308593,0.033644
0.290862,0.028146
0.137332,0.026394
0.274745,0.031022
0.174909,0.025000
0.348231,0.013514
0.194190,0.026537
0.139663,0.016393
0.311531,0.031814
0.354701,0.032619
0.259446,0.043193
0.204094,0.023194
0.409860,0.026609
0.160093,0.053500
0.218067,0.043869
0.514912,0.015040
0.237812,0.054403
0.418693,0.032786
0.124009,0.020487
0.197491,0.016697
0.350675,0.039908
0.204250,0.017191
0.384216,0.038412
0.263040,0.033253
0.405592,0.021156
0.181099,0.014113
0.366634,0.046786
0.262012,0.078832
0.212070,0.031578
0.309558,0.047465
0.453059,0.023955
0.216459,0.064559
0.151094,0.021417
0.142382,0.021285
0.202364,0.064949
0.380537,0.016592
0.334864,0.030961
0.317441,0.109636
0.313247,0.058221
0.213598,0.075337
0.366323,0.062492
0.128165,0.014623
0.360448,0.039443
0.176606,0.064904
0.213815,0.026747
0.166966,0.013751
0.249695,0.071797
0.194988,0.016440
0.126809,0.016753
0.181280,0.028690
0.438856,0.017449
0.222992,0.028878
0.189297,0.033551
0.291365,0.027061
0.190429,0.025803
0.188259,0.041640
0.137148,0.028004
0.314427,0.106465
0.134841,0.020837
0.238915,0.094843
0.183879,0.019442
0.358066,0.119358
0.213755,0.035973
0.412012,0.046813
0.140458,0.021088
0.256301,0.012380
0.181264,0.070870
0.315388,0.030735
0.492392,0.013833
0.175303,0.035568
0.230205,0.033402
0.135697,0.051350
0.223264,0.022797
0.211822,0.042950
0.298897,0.064128
0.292023,0.027773
0.263861,0.020803
0.227054,0.016390
0.276751,0.052608
0.199123,0.014640
0.329529,0.032330
0.154980,0.028112
0.228646,0.085908
0.142677,0.024289
0.175325,0.021647
0.119055,0.020981
0.326629,0.053612
0.452947,0.019166
0.458987,0.026153
0.395530,0.022515
0.179807,0.025470
0.244611,0.056145
0.406957,0.025965
0.332967,0.050218
0.242129,0.022558
0.300209,0.102398
0.312781,0.076374
0.170604,0.025992
0.480915,0.039359
0.160509,0.013425
0.289699,0.035731
0.331458,0.020096
0.177276,0.013429
0.116766,0.028378
0.259211,0.021967
0.237735,0.056032
0.116522,0.029860
0.139024,0.028461
0.207934,0.025040
